Year,Month,Day,Weekday,Hour,Minute,Second,ContentLength,ElapsedTimeMilisecond 
2022,5,10,Tuesday,12,13,41,2730,58
2022,5,10,Tuesday,12,13,42,2730,59
2022,5,10,Tuesday,12,13,43,2730,62
2022,5,10,Tuesday,12,13,46,2730,430
2022,5,10,Tuesday,12,13,46,2730,59
2022,5,10,Tuesday,12,13,46,2730,59
2022,5,10,Tuesday,12,13,48,2730,60
2022,5,10,Tuesday,12,13,50,2730,68
2022,5,10,Tuesday,12,13,50,2730,65
2022,5,10,Tuesday,12,13,50,2730,59
2022,5,10,Tuesday,12,13,50,2730,62
2022,5,10,Tuesday,12,13,52,2730,63
2022,5,10,Tuesday,12,13,54,2730,58
2022,5,10,Tuesday,12,13,56,2730,60
2022,5,10,Tuesday,12,13,56,2730,59
2022,5,10,Tuesday,12,13,57,2730,60
2022,5,10,Tuesday,12,13,57,2730,60
2022,5,10,Tuesday,12,13,59,2730,62
2022,5,10,Tuesday,12,14,0,2730,57
2022,5,10,Tuesday,12,14,2,2730,67
2022,5,10,Tuesday,12,14,3,2730,56
2022,5,10,Tuesday,12,14,3,2730,55
2022,5,10,Tuesday,12,14,3,2730,54
2022,5,10,Tuesday,12,14,4,2730,69
2022,5,10,Tuesday,12,14,4,2730,58
2022,5,10,Tuesday,12,14,7,2730,66
2022,5,10,Tuesday,12,14,8,2730,72
2022,5,10,Tuesday,12,14,10,2730,64
2022,5,10,Tuesday,12,14,11,2730,59
2022,5,10,Tuesday,12,14,13,2730,59
2022,5,10,Tuesday,12,14,14,2730,59
2022,5,10,Tuesday,12,14,16,2730,62
2022,5,10,Tuesday,12,14,18,2730,56
2022,5,10,Tuesday,12,14,20,2730,64
2022,5,10,Tuesday,12,14,21,2730,63
2022,5,10,Tuesday,12,14,23,2730,61
2022,5,10,Tuesday,12,14,24,2730,56
2022,5,10,Tuesday,12,14,24,2730,61
2022,5,10,Tuesday,12,14,24,2730,63
2022,5,10,Tuesday,12,14,26,2730,59
2022,5,10,Tuesday,12,14,27,2730,62
2022,5,10,Tuesday,12,14,28,2730,61
2022,5,10,Tuesday,12,14,30,2730,63
2022,5,10,Tuesday,12,14,31,2730,61
2022,5,10,Tuesday,12,14,31,2730,61
2022,5,10,Tuesday,12,14,31,2730,60
2022,5,10,Tuesday,12,14,32,2730,60
2022,5,10,Tuesday,12,14,33,2730,54
2022,5,10,Tuesday,12,14,34,2730,55
2022,5,10,Tuesday,12,14,35,2730,62
2022,5,10,Tuesday,12,14,36,2730,53
2022,5,10,Tuesday,12,14,36,2730,65
2022,5,10,Tuesday,12,14,37,2730,60
2022,5,10,Tuesday,12,14,39,2730,71
