Year,Month,Day,Weekday,Hour,Minute,Second,ContentLength,ElapsedTimeMilisecond 
2022,5,6,Friday,11,49,39,2730,56
2022,5,6,Friday,11,49,40,2730,56
2022,5,6,Friday,11,49,40,2730,62
2022,5,6,Friday,11,49,40,2730,56
2022,5,6,Friday,11,49,41,2730,60
2022,5,6,Friday,11,49,41,2730,57
2022,5,6,Friday,11,49,43,2730,59
2022,5,6,Friday,11,49,45,2730,59
2022,5,6,Friday,11,49,45,2730,60
2022,5,6,Friday,11,49,45,2730,63
2022,5,6,Friday,11,49,45,2730,76
2022,5,6,Friday,11,49,46,2730,60
2022,5,6,Friday,11,49,48,2730,58
2022,5,6,Friday,11,49,50,2730,70
2022,5,6,Friday,11,49,50,2730,54
2022,5,6,Friday,11,49,51,2730,55
2022,5,6,Friday,11,49,51,2730,77
2022,5,6,Friday,11,49,53,2730,59
2022,5,6,Friday,11,49,54,2730,63
2022,5,6,Friday,11,49,57,2730,57
2022,5,6,Friday,11,49,58,2730,58
2022,5,6,Friday,11,49,58,2730,61
2022,5,6,Friday,11,49,58,2730,56
2022,5,6,Friday,11,49,59,2730,54
2022,5,6,Friday,11,49,59,2730,56
2022,5,6,Friday,11,50,1,2730,54
2022,5,6,Friday,11,50,2,2730,60
2022,5,6,Friday,11,50,4,2730,54
2022,5,6,Friday,11,50,5,2730,54
2022,5,6,Friday,11,50,7,2730,59
2022,5,6,Friday,11,50,8,2730,54
2022,5,6,Friday,11,50,10,2730,53
2022,5,6,Friday,11,50,12,2730,57
2022,5,6,Friday,11,50,14,2730,54
2022,5,6,Friday,11,50,16,2730,56
2022,5,6,Friday,11,50,18,2730,54
2022,5,6,Friday,11,50,19,2730,55
2022,5,6,Friday,11,50,19,2730,57
2022,5,6,Friday,11,50,19,2730,55
2022,5,6,Friday,11,50,20,2730,56
2022,5,6,Friday,11,50,21,2730,56
2022,5,6,Friday,11,50,22,2730,58
2022,5,6,Friday,11,50,24,2730,53
2022,5,6,Friday,11,50,25,2730,56
2022,5,6,Friday,11,50,25,2730,56
2022,5,6,Friday,11,50,25,2730,56
2022,5,6,Friday,11,50,26,2730,59
2022,5,6,Friday,11,50,27,2730,56
2022,5,6,Friday,11,50,28,2730,61
2022,5,6,Friday,11,50,29,2730,56
2022,5,6,Friday,11,50,31,2730,55
2022,5,6,Friday,11,50,31,2730,58
2022,5,6,Friday,11,50,32,2730,52
2022,5,6,Friday,11,50,33,2730,52
2022,5,6,Friday,11,50,34,2730,54
2022,5,6,Friday,11,50,34,2730,53
2022,5,6,Friday,11,50,35,2730,52
2022,5,6,Friday,11,50,35,2730,58
2022,5,6,Friday,11,50,35,2730,56
2022,5,6,Friday,11,50,36,2730,58
2022,5,6,Friday,11,50,36,2730,57
2022,5,6,Friday,11,50,36,2730,58
2022,5,6,Friday,11,50,38,2730,58
2022,5,6,Friday,11,50,40,2730,53
2022,5,6,Friday,11,50,40,2730,52
2022,5,6,Friday,11,50,40,2730,56
2022,5,6,Friday,11,50,41,2730,58
2022,5,6,Friday,11,50,42,2730,60
2022,5,6,Friday,11,50,43,2730,59
2022,5,6,Friday,11,50,43,2730,58
2022,5,6,Friday,11,50,44,2730,53
2022,5,6,Friday,11,50,44,2730,59
2022,5,6,Friday,11,50,46,2730,56
2022,5,6,Friday,11,50,47,2730,54
2022,5,6,Friday,11,50,48,2730,49
2022,5,6,Friday,11,50,48,2730,54
2022,5,6,Friday,11,50,48,2730,52
2022,5,6,Friday,11,50,50,2730,55
2022,5,6,Friday,11,50,52,2730,67
2022,5,6,Friday,11,50,55,2730,226
2022,5,6,Friday,11,50,56,2730,166
2022,5,6,Friday,11,50,57,2730,54
2022,5,6,Friday,11,50,59,2730,60
2022,5,6,Friday,11,51,0,2730,53
2022,5,6,Friday,11,51,1,2730,62
2022,5,6,Friday,11,51,3,2730,56
2022,5,6,Friday,11,51,4,2730,174
2022,5,6,Friday,11,51,6,2730,62
2022,5,6,Friday,11,51,8,2730,56
2022,5,6,Friday,11,51,10,2730,55
2022,5,6,Friday,11,51,12,2730,50
2022,5,6,Friday,11,51,12,2730,55
2022,5,6,Friday,11,51,13,2730,59
2022,5,6,Friday,11,51,15,2730,325
2022,5,6,Friday,11,51,16,2730,230
2022,5,6,Friday,11,51,18,2730,319
2022,5,6,Friday,11,51,20,2730,52
2022,5,6,Friday,11,51,21,2730,55
2022,5,6,Friday,11,51,22,2730,53
2022,5,6,Friday,11,51,22,2730,57
2022,5,6,Friday,11,51,23,2730,72
2022,5,6,Friday,11,51,25,2730,237
2022,5,6,Friday,11,51,26,2730,65
2022,5,6,Friday,11,51,26,2730,78
2022,5,6,Friday,11,51,26,2730,78
2022,5,6,Friday,11,51,27,2730,79
2022,5,6,Friday,11,51,27,2730,86
2022,5,6,Friday,11,51,28,2730,53
2022,5,6,Friday,11,51,28,2730,73
2022,5,6,Friday,11,51,29,2730,56
