Year,Month,Day,Weekday,Hour,Minute,Second,ContentLength,ElapsedTimeMilisecond 
2022,5,6,Friday,9,59,47,2730,83
2022,5,6,Friday,9,59,48,2730,58
2022,5,6,Friday,9,59,48,2730,57
2022,5,6,Friday,9,59,48,2730,59
2022,5,6,Friday,9,59,48,2730,57
2022,5,6,Friday,9,59,48,2730,61
2022,5,6,Friday,9,59,50,2730,64
2022,5,6,Friday,9,59,52,2730,65
2022,5,6,Friday,9,59,52,2730,64
2022,5,6,Friday,9,59,52,2730,58
2022,5,6,Friday,9,59,52,2730,61
2022,5,6,Friday,9,59,54,2730,189
2022,5,6,Friday,9,59,56,2730,63
2022,5,6,Friday,9,59,58,2730,59
2022,5,6,Friday,9,59,58,2730,56
2022,5,6,Friday,9,59,59,2730,52
2022,5,6,Friday,9,59,59,2730,56
2022,5,6,Friday,10,0,1,2730,55
2022,5,6,Friday,10,0,2,2730,56
2022,5,6,Friday,10,0,4,2730,59
2022,5,6,Friday,10,0,5,2730,54
2022,5,6,Friday,10,0,5,2730,55
2022,5,6,Friday,10,0,5,2730,57
2022,5,6,Friday,10,0,6,2730,58
2022,5,6,Friday,10,0,6,2730,58
2022,5,6,Friday,10,0,8,2730,53
2022,5,6,Friday,10,0,10,2730,55
2022,5,6,Friday,10,0,12,2730,51
2022,5,6,Friday,10,0,13,2730,56
2022,5,6,Friday,10,0,15,2730,56
2022,5,6,Friday,10,0,16,2730,60
2022,5,6,Friday,10,0,18,2730,54
2022,5,6,Friday,10,0,20,2730,55
2022,5,6,Friday,10,0,22,2730,65
2022,5,6,Friday,10,0,23,2730,52
2022,5,6,Friday,10,0,25,2730,64
2022,5,6,Friday,10,0,26,2730,61
2022,5,6,Friday,10,0,26,2730,66
2022,5,6,Friday,10,0,26,2730,61
2022,5,6,Friday,10,0,27,2730,53
2022,5,6,Friday,10,0,28,2730,54
2022,5,6,Friday,10,0,30,2730,49
2022,5,6,Friday,10,0,32,2730,56
2022,5,6,Friday,10,0,33,2730,51
2022,5,6,Friday,10,0,33,2730,50
2022,5,6,Friday,10,0,33,2730,49
2022,5,6,Friday,10,0,34,2730,57
2022,5,6,Friday,10,0,35,2730,60
2022,5,6,Friday,10,0,36,2730,218
2022,5,6,Friday,10,0,37,2730,58
2022,5,6,Friday,10,0,38,2730,63
2022,5,6,Friday,10,0,38,2730,53
2022,5,6,Friday,10,0,39,2730,59
2022,5,6,Friday,10,0,41,2730,61
2022,5,6,Friday,10,0,42,2730,57
2022,5,6,Friday,10,0,42,2730,59
2022,5,6,Friday,10,0,43,2730,59
2022,5,6,Friday,10,0,43,2730,56
2022,5,6,Friday,10,0,43,2730,59
2022,5,6,Friday,10,0,44,2730,58
2022,5,6,Friday,10,0,44,2730,61
2022,5,6,Friday,10,0,44,2730,66
2022,5,6,Friday,10,0,46,2730,225
2022,5,6,Friday,10,0,48,2730,61
2022,5,6,Friday,10,0,48,2730,56
2022,5,6,Friday,10,0,48,2730,57
2022,5,6,Friday,10,0,49,2730,59
2022,5,6,Friday,10,0,50,2730,57
2022,5,6,Friday,10,0,51,2730,57
2022,5,6,Friday,10,0,51,2730,59
2022,5,6,Friday,10,0,52,2730,61
2022,5,6,Friday,10,0,52,2730,58
2022,5,6,Friday,10,0,54,2730,53
2022,5,6,Friday,10,0,55,2730,60
2022,5,6,Friday,10,0,56,2730,242
2022,5,6,Friday,10,0,57,2730,308
2022,5,6,Friday,10,0,57,2730,293
2022,5,6,Friday,10,0,59,2730,242
2022,5,6,Friday,10,1,1,2730,62
2022,5,6,Friday,10,1,3,2730,58
2022,5,6,Friday,10,1,4,2730,59
2022,5,6,Friday,10,1,5,2730,59
2022,5,6,Friday,10,1,7,2730,57
2022,5,6,Friday,10,1,9,2730,61
2022,5,6,Friday,10,1,10,2730,59
2022,5,6,Friday,10,1,12,2730,59
2022,5,6,Friday,10,1,13,2730,57
2022,5,6,Friday,10,1,15,2730,62
2022,5,6,Friday,10,1,17,2730,61
2022,5,6,Friday,10,1,18,2730,65
2022,5,6,Friday,10,1,20,2730,57
2022,5,6,Friday,10,1,20,2730,52
2022,5,6,Friday,10,1,21,2730,323
2022,5,6,Friday,10,1,24,2730,53
2022,5,6,Friday,10,1,25,2730,58
2022,5,6,Friday,10,1,26,2730,64
2022,5,6,Friday,10,1,28,2730,51
2022,5,6,Friday,10,1,29,2730,57
2022,5,6,Friday,10,1,30,2730,59
2022,5,6,Friday,10,1,30,2730,59
2022,5,6,Friday,10,1,31,2730,58
2022,5,6,Friday,10,1,33,2730,61
2022,5,6,Friday,10,1,34,2730,55
2022,5,6,Friday,10,1,34,2730,49
2022,5,6,Friday,10,1,34,2730,63
2022,5,6,Friday,10,1,34,2730,67
2022,5,6,Friday,10,1,34,2730,53
2022,5,6,Friday,10,1,35,2730,49
2022,5,6,Friday,10,1,35,2730,50
2022,5,6,Friday,10,1,37,2730,51
2022,5,6,Friday,10,1,38,2730,60
2022,5,6,Friday,10,1,39,2730,54
2022,5,6,Friday,10,1,39,2730,49
2022,5,6,Friday,10,1,39,2730,52
2022,5,6,Friday,10,1,39,2730,53
2022,5,6,Friday,10,1,39,2730,55
2022,5,6,Friday,10,1,41,2730,58
2022,5,6,Friday,10,1,41,2730,62
2022,5,6,Friday,10,1,41,2730,278
2022,5,6,Friday,10,1,42,2730,59
2022,5,6,Friday,10,1,43,2730,56
2022,5,6,Friday,10,1,46,2730,63
2022,5,6,Friday,10,1,46,2730,57
2022,5,6,Friday,10,1,48,2730,58
2022,5,6,Friday,10,1,50,2730,55
2022,5,6,Friday,10,1,51,2730,55
2022,5,6,Friday,10,1,53,2730,54
2022,5,6,Friday,10,1,55,2730,349
2022,5,6,Friday,10,1,57,2730,56
2022,5,6,Friday,10,1,59,2730,54
2022,5,6,Friday,10,1,59,2730,59
2022,5,6,Friday,10,2,0,2730,60
2022,5,6,Friday,10,2,1,2730,56
2022,5,6,Friday,10,2,1,2730,61
2022,5,6,Friday,10,2,3,2730,64
2022,5,6,Friday,10,2,3,2730,55
2022,5,6,Friday,10,2,4,2730,82
2022,5,6,Friday,10,2,6,2730,71
2022,5,6,Friday,10,2,8,2730,57
2022,5,6,Friday,10,2,10,2730,58
2022,5,6,Friday,10,2,10,2730,50
2022,5,6,Friday,10,2,11,2730,53
2022,5,6,Friday,10,2,13,2730,166
2022,5,6,Friday,10,2,15,2730,61
2022,5,6,Friday,10,2,17,2730,57
2022,5,6,Friday,10,2,19,2730,54
2022,5,6,Friday,10,2,19,2730,57
2022,5,6,Friday,10,2,19,2730,58
2022,5,6,Friday,10,2,19,2730,55
2022,5,6,Friday,10,2,20,2730,56
2022,5,6,Friday,10,2,21,2730,55
2022,5,6,Friday,10,2,22,2730,54
2022,5,6,Friday,10,2,24,2730,57
2022,5,6,Friday,10,2,26,2730,53
2022,5,6,Friday,10,2,27,2730,66
2022,5,6,Friday,10,2,27,2730,57
2022,5,6,Friday,10,2,27,2730,66
2022,5,6,Friday,10,2,27,2730,53
2022,5,6,Friday,10,2,29,2730,51
2022,5,6,Friday,10,2,31,2730,67
2022,5,6,Friday,10,2,33,2730,58
2022,5,6,Friday,10,2,33,2730,57
2022,5,6,Friday,10,2,33,2730,60
2022,5,6,Friday,10,2,34,2730,61
2022,5,6,Friday,10,2,36,2730,59
2022,5,6,Friday,10,2,37,2730,56
2022,5,6,Friday,10,2,37,2730,58
2022,5,6,Friday,10,2,37,2730,60
2022,5,6,Friday,10,2,39,2730,57
2022,5,6,Friday,10,2,40,2730,53
2022,5,6,Friday,10,2,41,2730,59
2022,5,6,Friday,10,2,41,2730,54
2022,5,6,Friday,10,2,43,2730,68
2022,5,6,Friday,10,2,43,2730,67
2022,5,6,Friday,10,2,46,2730,60
2022,5,6,Friday,10,2,47,2730,58
2022,5,6,Friday,10,2,49,2730,54
2022,5,6,Friday,10,2,50,2730,56
2022,5,6,Friday,10,2,52,2730,53
2022,5,6,Friday,10,2,53,2730,55
2022,5,6,Friday,10,2,53,2730,60
2022,5,6,Friday,10,2,55,2730,69
2022,5,6,Friday,10,2,56,2730,57
2022,5,6,Friday,10,2,58,2730,53
2022,5,6,Friday,10,3,0,2730,51
