Year,Month,Day,Weekday,Hour,Minute,Second,ContentLength,ElapsedTimeMilisecond 
2022,5,11,Wednesday,7,8,20,2730,86
2022,5,11,Wednesday,7,8,21,2730,69
2022,5,11,Wednesday,7,8,21,2730,63
2022,5,11,Wednesday,7,8,22,2730,63
2022,5,11,Wednesday,7,8,22,2730,61
2022,5,11,Wednesday,7,8,22,2730,60
2022,5,11,Wednesday,7,8,24,2730,64
2022,5,11,Wednesday,7,8,26,2730,63
2022,5,11,Wednesday,7,8,26,2730,62
2022,5,11,Wednesday,7,8,26,2730,64
2022,5,11,Wednesday,7,8,26,2730,61
2022,5,11,Wednesday,7,8,27,2730,62
2022,5,11,Wednesday,7,8,29,2730,64
2022,5,11,Wednesday,7,8,31,2730,56
2022,5,11,Wednesday,7,8,31,2730,57
2022,5,11,Wednesday,7,8,32,2730,61
2022,5,11,Wednesday,7,8,32,2730,59
2022,5,11,Wednesday,7,8,35,2730,62
2022,5,11,Wednesday,7,8,36,2730,59
2022,5,11,Wednesday,7,8,38,2730,63
2022,5,11,Wednesday,7,8,39,2730,54
2022,5,11,Wednesday,7,8,39,2730,60
2022,5,11,Wednesday,7,8,39,2730,58
2022,5,11,Wednesday,7,8,40,2730,65
2022,5,11,Wednesday,7,8,40,2730,66
2022,5,11,Wednesday,7,8,42,2730,59
2022,5,11,Wednesday,7,8,43,2730,64
2022,5,11,Wednesday,7,8,45,2730,63
2022,5,11,Wednesday,7,8,46,2730,62
2022,5,11,Wednesday,7,8,48,2730,62
2022,5,11,Wednesday,7,8,49,2730,62
2022,5,11,Wednesday,7,8,52,2730,75
2022,5,11,Wednesday,7,8,54,2730,59
2022,5,11,Wednesday,7,8,56,2730,59
2022,5,11,Wednesday,7,8,57,2730,61
2022,5,11,Wednesday,7,8,59,2730,61
2022,5,11,Wednesday,7,9,0,2730,109
2022,5,11,Wednesday,7,9,0,2730,73
2022,5,11,Wednesday,7,9,0,2730,57
2022,5,11,Wednesday,7,9,1,2730,60
2022,5,11,Wednesday,7,9,2,2730,60
2022,5,11,Wednesday,7,9,3,2730,62
2022,5,11,Wednesday,7,9,5,2730,65
2022,5,11,Wednesday,7,9,7,2730,215
2022,5,11,Wednesday,7,9,7,2730,138
2022,5,11,Wednesday,7,9,7,2730,156
2022,5,11,Wednesday,7,9,8,2730,73
2022,5,11,Wednesday,7,9,9,2730,63
2022,5,11,Wednesday,7,9,10,2730,60
2022,5,11,Wednesday,7,9,11,2730,61
2022,5,11,Wednesday,7,9,12,2730,63
2022,5,11,Wednesday,7,9,12,2730,54
2022,5,11,Wednesday,7,9,13,2730,60
2022,5,11,Wednesday,7,9,15,2730,60
2022,5,11,Wednesday,7,9,16,2730,72
2022,5,11,Wednesday,7,9,16,2730,61
2022,5,11,Wednesday,7,9,17,2730,95
2022,5,11,Wednesday,7,9,17,2730,258
2022,5,11,Wednesday,7,9,17,2730,64
2022,5,11,Wednesday,7,9,18,2730,59
2022,5,11,Wednesday,7,9,18,2730,59
2022,5,11,Wednesday,7,9,18,2730,59
2022,5,11,Wednesday,7,9,20,2730,60
2022,5,11,Wednesday,7,9,22,2730,62
2022,5,11,Wednesday,7,9,23,2730,61
2022,5,11,Wednesday,7,9,23,2730,62
2022,5,11,Wednesday,7,9,23,2730,62
2022,5,11,Wednesday,7,9,24,2730,74
2022,5,11,Wednesday,7,9,25,2730,59
2022,5,11,Wednesday,7,9,25,2730,64
2022,5,11,Wednesday,7,9,26,2730,58
2022,5,11,Wednesday,7,9,26,2730,59
2022,5,11,Wednesday,7,9,28,2730,64
2022,5,11,Wednesday,7,9,29,2730,57
2022,5,11,Wednesday,7,9,30,2730,70
2022,5,11,Wednesday,7,9,30,2730,59
2022,5,11,Wednesday,7,9,30,2730,55
2022,5,11,Wednesday,7,9,32,2730,68
2022,5,11,Wednesday,7,9,35,2730,57
2022,5,11,Wednesday,7,9,37,2730,121
2022,5,11,Wednesday,7,9,38,2730,60
2022,5,11,Wednesday,7,9,39,2730,61
2022,5,11,Wednesday,7,9,41,2730,56
2022,5,11,Wednesday,7,9,42,2730,60
2022,5,11,Wednesday,7,9,43,2730,60
2022,5,11,Wednesday,7,9,45,2730,58
2022,5,11,Wednesday,7,9,46,2730,59
2022,5,11,Wednesday,7,9,48,2730,58
2022,5,11,Wednesday,7,9,50,2730,62
2022,5,11,Wednesday,7,9,51,2730,61
2022,5,11,Wednesday,7,9,53,2730,59
2022,5,11,Wednesday,7,9,54,2730,62
2022,5,11,Wednesday,7,9,55,2730,62
2022,5,11,Wednesday,7,9,57,2730,59
2022,5,11,Wednesday,7,9,58,2730,60
2022,5,11,Wednesday,7,9,59,2730,63
2022,5,11,Wednesday,7,10,1,2730,59
2022,5,11,Wednesday,7,10,2,2730,57
2022,5,11,Wednesday,7,10,3,2730,60
2022,5,11,Wednesday,7,10,3,2730,60
2022,5,11,Wednesday,7,10,4,2730,64
2022,5,11,Wednesday,7,10,6,2730,59
2022,5,11,Wednesday,7,10,7,2730,53
2022,5,11,Wednesday,7,10,7,2730,56
2022,5,11,Wednesday,7,10,7,2730,61
2022,5,11,Wednesday,7,10,8,2730,62
2022,5,11,Wednesday,7,10,8,2730,85
2022,5,11,Wednesday,7,10,9,2730,62
2022,5,11,Wednesday,7,10,9,2730,62
2022,5,11,Wednesday,7,10,10,2730,57
2022,5,11,Wednesday,7,10,11,2730,56
2022,5,11,Wednesday,7,10,12,2730,60
2022,5,11,Wednesday,7,10,12,2730,58
2022,5,11,Wednesday,7,10,12,2730,59
2022,5,11,Wednesday,7,10,12,2730,56
2022,5,11,Wednesday,7,10,12,2730,61
2022,5,11,Wednesday,7,10,14,2730,66
2022,5,11,Wednesday,7,10,14,2730,57
2022,5,11,Wednesday,7,10,14,2730,64
2022,5,11,Wednesday,7,10,15,2730,61
2022,5,11,Wednesday,7,10,17,2730,59
2022,5,11,Wednesday,7,10,19,2730,57
2022,5,11,Wednesday,7,10,19,2730,60
2022,5,11,Wednesday,7,10,21,2730,56
2022,5,11,Wednesday,7,10,23,2730,58
2022,5,11,Wednesday,7,10,24,2730,69
2022,5,11,Wednesday,7,10,26,2730,61
2022,5,11,Wednesday,7,10,28,2730,69
2022,5,11,Wednesday,7,10,30,2730,60
2022,5,11,Wednesday,7,10,32,2730,62
2022,5,11,Wednesday,7,10,32,2730,59
2022,5,11,Wednesday,7,10,32,2730,61
2022,5,11,Wednesday,7,10,33,2730,59
2022,5,11,Wednesday,7,10,33,2730,59
2022,5,11,Wednesday,7,10,36,2730,60
2022,5,11,Wednesday,7,10,36,2730,62
2022,5,11,Wednesday,7,10,37,2730,72
2022,5,11,Wednesday,7,10,39,2730,59
2022,5,11,Wednesday,7,10,41,2730,59
2022,5,11,Wednesday,7,10,43,2730,200
2022,5,11,Wednesday,7,10,43,2730,148
2022,5,11,Wednesday,7,10,44,2730,231
2022,5,11,Wednesday,7,10,47,2730,277
2022,5,11,Wednesday,7,10,49,2730,55
2022,5,11,Wednesday,7,10,50,2730,61
2022,5,11,Wednesday,7,10,52,2730,84
2022,5,11,Wednesday,7,10,52,2730,57
2022,5,11,Wednesday,7,10,52,2730,60
2022,5,11,Wednesday,7,10,52,2730,60
2022,5,11,Wednesday,7,10,53,2730,165
2022,5,11,Wednesday,7,10,54,2730,56
2022,5,11,Wednesday,7,10,56,2730,62
2022,5,11,Wednesday,7,10,58,2730,60
2022,5,11,Wednesday,7,11,0,2730,58
2022,5,11,Wednesday,7,11,1,2730,59
2022,5,11,Wednesday,7,11,1,2730,59
2022,5,11,Wednesday,7,11,1,2730,60
2022,5,11,Wednesday,7,11,1,2730,58
2022,5,11,Wednesday,7,11,3,2730,59
2022,5,11,Wednesday,7,11,4,2730,205
2022,5,11,Wednesday,7,11,6,2730,59
2022,5,11,Wednesday,7,11,6,2730,57
2022,5,11,Wednesday,7,11,6,2730,62
2022,5,11,Wednesday,7,11,8,2730,63
2022,5,11,Wednesday,7,11,10,2730,60
2022,5,11,Wednesday,7,11,11,2730,57
2022,5,11,Wednesday,7,11,11,2730,60
2022,5,11,Wednesday,7,11,11,2730,59
2022,5,11,Wednesday,7,11,13,2730,61
2022,5,11,Wednesday,7,11,14,2730,209
2022,5,11,Wednesday,7,11,15,2730,62
2022,5,11,Wednesday,7,11,15,2730,63
2022,5,11,Wednesday,7,11,17,2730,62
2022,5,11,Wednesday,7,11,17,2730,59
2022,5,11,Wednesday,7,11,19,2730,61
2022,5,11,Wednesday,7,11,21,2730,61
2022,5,11,Wednesday,7,11,23,2730,63
2022,5,11,Wednesday,7,11,24,2730,123
2022,5,11,Wednesday,7,11,26,2730,60
2022,5,11,Wednesday,7,11,27,2730,68
2022,5,11,Wednesday,7,11,27,2730,63
2022,5,11,Wednesday,7,11,29,2730,62
2022,5,11,Wednesday,7,11,30,2730,57
2022,5,11,Wednesday,7,11,32,2730,101
2022,5,11,Wednesday,7,11,34,2730,64
2022,5,11,Wednesday,7,11,36,2730,58
2022,5,11,Wednesday,7,11,38,2730,169
2022,5,11,Wednesday,7,11,38,2730,259
2022,5,11,Wednesday,7,11,38,2730,212
2022,5,11,Wednesday,7,11,40,2730,219
2022,5,11,Wednesday,7,11,41,2730,269
2022,5,11,Wednesday,7,11,43,2730,59
2022,5,11,Wednesday,7,11,43,2730,56
2022,5,11,Wednesday,7,11,45,2730,60
2022,5,11,Wednesday,7,11,47,2730,59
2022,5,11,Wednesday,7,11,47,2730,61
2022,5,11,Wednesday,7,11,49,2730,59
2022,5,11,Wednesday,7,11,49,2730,60
2022,5,11,Wednesday,7,11,51,2730,56
2022,5,11,Wednesday,7,11,52,2730,70
2022,5,11,Wednesday,7,11,53,2730,58
2022,5,11,Wednesday,7,11,54,2730,60
2022,5,11,Wednesday,7,11,55,2730,56
2022,5,11,Wednesday,7,11,56,2730,62
2022,5,11,Wednesday,7,11,58,2730,61
2022,5,11,Wednesday,7,11,58,2730,57
2022,5,11,Wednesday,7,12,0,2730,60
2022,5,11,Wednesday,7,12,2,2730,62
2022,5,11,Wednesday,7,12,4,2730,129
2022,5,11,Wednesday,7,12,6,2730,60
2022,5,11,Wednesday,7,12,7,2730,64
2022,5,11,Wednesday,7,12,9,2730,57
